index,period,attendances,breaches
289,2017-03-01,1523,0
290,2017-03-01,6501,3
291,2017-03-01,3682,1
292,2017-03-01,11963,1448
293,2017-03-01,1996,7
294,2017-03-01,10452,2351
295,2017-03-01,7222,844
296,2017-03-01,3521,661
297,2017-03-01,3911,0
298,2017-03-01,179,0
299,2017-03-01,2955,106
300,2017-03-01,11198,1676
301,2017-03-01,1797,0
302,2017-03-01,711,0
303,2017-03-01,8345,1284
304,2017-03-01,250,0
305,2017-03-01,5584,361
306,2017-03-01,1363,0
307,2017-03-01,9418,2688
308,2017-03-01,897,3
309,2017-03-01,2036,18
310,2017-03-01,910,1
311,2017-03-01,9380,594
312,2017-03-01,1495,5
313,2017-03-01,6059,1664
314,2017-03-01,1521,25
315,2017-03-01,8240,614
316,2017-03-01,712,0
317,2017-03-01,5854,205
318,2017-03-01,6218,1379
319,2017-03-01,941,12
320,2017-03-01,3807,303
321,2017-03-01,325,0
322,2017-03-01,1357,0
323,2017-03-01,7026,40
324,2017-03-01,1293,0
325,2017-03-01,3970,2
326,2017-03-01,2296,19
327,2017-03-01,4816,16
328,2017-03-01,8344,412
329,2017-03-01,8981,388
330,2017-03-01,5394,311
331,2017-03-01,203,0
332,2017-03-01,6326,428
333,2017-03-01,1517,0
334,2017-03-01,5933,503
335,2017-03-01,2804,0
336,2017-03-01,8622,1012
337,2017-03-01,1564,35
338,2017-03-01,9307,1869
339,2017-03-01,1947,16
340,2017-03-01,11417,515
341,2017-03-01,965,4
342,2017-03-01,4350,972
343,2017-03-01,2686,21
344,2017-03-01,2311,0
345,2017-03-01,3167,13
346,2017-03-01,1509,12
347,2017-03-01,3963,62
348,2017-02-01,17917,2694
349,2017-02-01,616,4
350,2017-02-01,2673,20
351,2017-02-01,25955,6186
352,2017-02-01,651,0
353,2017-02-01,9882,172
354,2017-02-01,3768,2
355,2017-02-01,17023,144
356,2017-02-01,14482,1942
357,2017-02-01,6680,91
358,2017-02-01,5761,1374
359,2017-02-01,3202,21
360,2017-02-01,1016,0
361,2017-02-01,2261,0
362,2017-02-01,10654,534
363,2017-02-01,484,2
364,2017-02-01,10683,1471
365,2017-02-01,700,0
366,2017-02-01,2634,5
367,2017-02-01,3459,0
368,2017-02-01,8790,507
369,2017-02-01,4088,1
370,2017-02-01,8452,2565
371,2017-02-01,3672,13
372,2017-02-01,9528,57
373,2017-02-01,15070,3754
374,2017-02-01,1880,1
375,2017-02-01,4192,175
376,2017-02-01,7677,1121
377,2017-02-01,915,0
378,2017-02-01,16054,3095
379,2017-02-01,5012,0
380,2017-02-01,10644,4616
381,2017-02-01,14585,109
382,2017-02-01,7527,100
383,2017-02-01,4539,35
384,2017-02-01,13091,2314
385,2017-02-01,757,0
386,2017-02-01,425,0
387,2017-02-01,545,0
388,2017-02-01,16388,2485
389,2017-02-01,2831,0
390,2017-02-01,1797,0
391,2017-02-01,11454,1178
392,2017-02-01,1065,0
393,2017-02-01,2297,0
394,2017-02-01,5179,2175
395,2017-02-01,7199,39
396,2017-02-01,2815,0
397,2017-02-01,3141,0
398,2017-02-01,7431,995
399,2017-02-01,10584,1144
400,2017-02-01,8613,0
401,2017-02-01,2295,0
402,2017-02-01,5061,0
403,2017-02-01,2176,0
404,2017-02-01,10152,847
405,2017-02-01,5530,444
406,2017-02-01,2983,0
407,2017-02-01,4586,183
408,2017-02-01,4493,498
409,2017-02-01,3670,1
410,2017-02-01,8094,2093
411,2017-02-01,2961,0
412,2017-02-01,5840,703
413,2017-02-01,1965,1
414,2017-02-01,6371,779
415,2017-02-01,4320,0
416,2017-02-01,5635,30
417,2017-02-01,9800,1367
418,2017-02-01,3725,6
419,2017-02-01,4114,1
420,2017-02-01,1648,0
421,2017-02-01,8079,1935
422,2017-02-01,3890,0
423,2017-02-01,44,0
424,2017-02-01,493,0
425,2017-02-01,5658,1015
426,2017-02-01,1847,0
427,2017-02-01,1723,1
428,2017-02-01,16808,3902
429,2017-02-01,3062,49
430,2017-02-01,794,1
431,2017-02-01,3353,765
432,2017-02-01,6478,723
433,2017-02-01,373,0
434,2017-02-01,5269,683
435,2017-02-01,90,0
436,2017-02-01,6587,1502
437,2017-02-01,331,0
438,2017-02-01,12123,80
439,2017-02-01,3345,67
440,2017-02-01,7677,199
441,2017-02-01,3285,0
442,2017-02-01,261,0
443,2017-02-01,551,1
444,2017-02-01,500,1
445,2017-02-01,6980,838
446,2017-02-01,264,15
447,2017-02-01,6430,1181
448,2017-02-01,4121,23
449,2017-02-01,3543,0
450,2017-02-01,8464,2061
451,2017-02-01,764,0
452,2017-02-01,6853,1104
453,2017-02-01,673,0
454,2017-02-01,7796,1899
455,2017-02-01,921,6
456,2017-02-01,5082,0
457,2017-02-01,4548,307
458,2017-02-01,13183,3028
459,2017-02-01,1413,22
460,2017-02-01,171,0
461,2017-02-01,2676,23
462,2017-02-01,220,0
463,2017-02-01,250,0
464,2017-02-01,2098,0
465,2017-02-01,12951,3034
466,2017-02-01,1713,12
467,2017-02-01,2520,0
468,2017-02-01,7642,565
469,2017-02-01,3498,54
470,2017-02-01,8779,2497
471,2017-02-01,1525,0
472,2017-02-01,345,0
473,2017-02-01,1585,0
474,2017-02-01,5005,0
475,2017-02-01,4651,225
476,2017-02-01,545,0
477,2017-02-01,7328,1079
478,2017-02-01,1878,0
479,2017-02-01,3314,0
480,2017-02-01,7769,1064
481,2017-02-01,6072,0
482,2017-02-01,7459,2395
483,2017-02-01,4553,433
484,2017-02-01,9797,1689
485,2017-02-01,8131,156
486,2017-02-01,11196,2759
487,2017-02-01,8753,1654
488,2017-02-01,10339,2822
489,2017-02-01,1843,29
490,2017-02-01,1835,4
491,2017-02-01,10612,2793
492,2017-02-01,1606,26
493,2017-02-01,5349,34
494,2017-02-01,12948,3777
495,2017-02-01,377,0
496,2017-02-01,4003,38
497,2017-02-01,5593,1636
498,2017-02-01,3227,25
499,2017-02-01,3578,0
500,2017-02-01,7178,2324
501,2017-02-01,3218,1
502,2017-02-01,5050,812
503,2017-02-01,8647,2957
504,2017-02-01,4741,1
505,2017-02-01,3908,965
506,2017-02-01,2698,0
507,2017-02-01,6217,1713
508,2017-02-01,6378,0
509,2017-02-01,4577,254
510,2017-02-01,4536,137
511,2017-02-01,6281,943
512,2017-02-01,6229,2417
513,2017-02-01,8534,1
514,2017-02-01,7749,1231
515,2017-02-01,924,2
516,2017-02-01,9969,988
517,2017-02-01,1299,0
518,2017-02-01,6887,105
519,2017-02-01,11252,737
520,2017-02-01,11747,2453
521,2017-02-01,3268,0
522,2017-02-01,8855,21
523,2017-02-01,7168,1242
524,2017-02-01,2117,26
525,2017-02-01,2368,2
526,2017-02-01,5275,713
527,2017-02-01,576,5
528,2017-02-01,9468,1603
529,2017-02-01,9653,0
530,2017-02-01,1526,37
531,2017-02-01,9793,1360
532,2017-02-01,2268,0
533,2017-02-01,3436,775
534,2017-02-01,173,0
535,2017-02-01,7824,2365
536,2017-02-01,5405,295
537,2017-02-01,84,0
538,2017-02-01,6572,387
539,2017-02-01,2130,1
540,2017-02-01,3290,208
541,2017-02-01,724,0
542,2017-02-01,9827,1957
543,2017-02-01,1061,0
544,2017-02-01,1247,2
545,2017-02-01,5084,1506
546,2017-02-01,5446,201
547,2017-02-01,1971,0
548,2017-02-01,15978,2830
549,2017-02-01,1678,0
550,2017-02-01,3693,0
551,2017-02-01,2172,0
552,2017-02-01,985,17
553,2017-02-01,2716,0
554,2017-02-01,4861,410
555,2017-02-01,1303,0
556,2017-02-01,17442,3092
557,2017-02-01,6822,945
558,2017-02-01,5220,481
559,2017-02-01,1321,2
560,2017-02-01,1728,0
561,2017-02-01,6039,256
562,2017-02-01,9989,2698
563,2017-02-01,1153,1
564,2017-02-01,7094,1223
565,2017-02-01,6855,44
566,2017-02-01,20121,5159
567,2017-02-01,3991,115
568,2017-02-01,3123,0
569,2017-02-01,6775,2290
570,2017-02-01,1422,0
571,2017-02-01,9257,0
572,2017-02-01,7598,1723
573,2017-02-01,2596,0
574,2017-02-01,4342,112
575,2017-02-01,8460,2947
576,2017-02-01,1093,0
577,2017-02-01,6264,0
578,2017-02-01,8954,933
579,2017-02-01,4714,0
580,2017-02-01,4414,285
581,2017-02-01,597,2
582,2017-02-01,5712,1228
583,2017-02-01,4584,9
584,2017-02-01,7740,2008
585,2017-02-01,5103,59
586,2017-02-01,6831,1695
587,2017-02-01,6352,835
588,2017-02-01,9419,997
589,2017-02-01,1590,14
590,2017-02-01,4333,0
591,2017-02-01,5567,1417
592,2017-02-01,3961,0
593,2017-02-01,7435,964
594,2017-02-01,6113,1385
595,2017-02-01,1486,45
596,2017-02-01,5985,1428
597,2017-02-01,3418,30
598,2017-02-01,4098,64
599,2017-02-01,7050,2076
600,2017-02-01,2280,13
601,2017-02-01,368,0
602,2017-02-01,6605,1063
603,2017-02-01,7930,2504
604,2017-02-01,5630,15
605,2017-02-01,7498,1503
606,2017-02-01,1387,0
607,2017-02-01,3139,3
608,2017-02-01,3112,0
609,2017-02-01,4918,0
610,2017-02-01,2574,1
611,2017-02-01,11012,2366
612,2017-02-01,1059,10
613,2017-02-01,4101,1
614,2017-02-01,6153,1161
615,2017-02-01,1187,0
616,2017-02-01,3155,17
617,2017-02-01,2003,31
618,2017-02-01,981,0
619,2017-02-01,7016,25
620,2017-02-01,7750,1313
621,2017-02-01,1484,0
622,2017-02-01,3084,192
623,2017-02-01,3264,2
624,2017-02-01,10975,3700
625,2017-02-01,4554,36
626,2017-02-01,7951,1903
627,2017-02-01,718,0
628,2017-02-01,17357,1527
629,2017-02-01,4755,11
630,2017-02-01,9772,2248
631,2017-02-01,5913,2076
632,2017-02-01,4568,42
633,2017-02-01,7789,1022
634,2017-02-01,1004,0
635,2017-02-01,575,11
636,2017-02-01,3039,600
637,2017-02-01,1046,0
638,2017-02-01,5201,8
639,2017-02-01,3181,2
640,2017-02-01,10386,1789
641,2017-02-01,1619,0
642,2017-02-01,8460,2016
643,2017-02-01,6160,1128
644,2017-02-01,3116,522
645,2017-02-01,3404,0
646,2017-02-01,119,0
647,2017-02-01,2343,33
648,2017-02-01,9816,2005
649,2017-02-01,1478,0
650,2017-02-01,515,0
651,2017-02-01,7229,1085
652,2017-02-01,217,0
653,2017-02-01,4830,414
654,2017-02-01,1059,0
655,2017-02-01,7901,2493
656,2017-02-01,785,1
657,2017-02-01,1430,3
658,2017-02-01,702,1
659,2017-02-01,8112,817
660,2017-02-01,1238,1
661,2017-02-01,5324,1324
662,2017-02-01,1255,12
663,2017-02-01,7214,637
664,2017-02-01,688,0
665,2017-02-01,4979,307
666,2017-02-01,5272,1229
667,2017-02-01,793,11
668,2017-02-01,3223,543
669,2017-02-01,325,0
670,2017-02-01,1207,0
671,2017-02-01,5779,13
672,2017-02-01,1110,0
673,2017-02-01,4103,6
674,2017-02-01,1844,7
675,2017-02-01,4164,3
676,2017-02-01,7142,647
677,2017-02-01,6993,136
678,2017-02-01,4751,332
679,2017-02-01,139,0
680,2017-02-01,5527,441
681,2017-02-01,1328,2
682,2017-02-01,5146,809
683,2017-02-01,2341,0
684,2017-02-01,7349,1528
685,2017-02-01,1375,37
686,2017-02-01,7904,1816
687,2017-02-01,1603,16
688,2017-02-01,9715,659
689,2017-02-01,981,9
690,2017-02-01,3683,1125
691,2017-02-01,2416,20
692,2017-02-01,1857,0
693,2017-02-01,2743,7
694,2017-02-01,1243,2
695,2017-02-01,3374,133
696,2017-01-01,20430,5247
697,2017-01-01,632,7
698,2017-01-01,3227,19
699,2017-01-01,28420,7426
700,2017-01-01,598,34
701,2017-01-01,11699,168
702,2017-01-01,4260,0
703,2017-01-01,19019,217
704,2017-01-01,16920,3141
705,2017-01-01,7349,73
706,2017-01-01,6618,1438
707,2017-01-01,3472,71
708,2017-01-01,1238,0
709,2017-01-01,2202,0
710,2017-01-01,11643,652
711,2017-01-01,487,0
712,2017-01-01,11677,1840
713,2017-01-01,701,0
714,2017-01-01,2903,6
715,2017-01-01,3892,0
716,2017-01-01,10039,710
717,2017-01-01,4313,4
718,2017-01-01,9744,3197
719,2017-01-01,3585,13
720,2017-01-01,11007,123
721,2017-01-01,16752,4887
722,2017-01-01,2045,1
723,2017-01-01,4713,234
724,2017-01-01,8628,1652
725,2017-01-01,879,0
726,2017-01-01,17998,4454
727,2017-01-01,5481,164
728,2017-01-01,11961,5897
729,2017-01-01,16918,199
730,2017-01-01,7764,101
731,2017-01-01,5180,124
732,2017-01-01,14751,3543
733,2017-01-01,838,0
734,2017-01-01,417,0
735,2017-01-01,560,0
736,2017-01-01,18559,3690
737,2017-01-01,3151,1
738,2017-01-01,2037,0
739,2017-01-01,12656,1879
740,2017-01-01,1352,0
741,2017-01-01,2592,0
742,2017-01-01,5686,2776
743,2017-01-01,8107,63
744,2017-01-01,3106,0
745,2017-01-01,3732,0
746,2017-01-01,8255,1414
747,2017-01-01,11130,1517
748,2017-01-01,10009,0
749,2017-01-01,2670,0
750,2017-01-01,5358,0
751,2017-01-01,11165,1385
752,2017-01-01,6024,555
753,2017-01-01,3352,0
754,2017-01-01,5130,248
755,2017-01-01,5150,1157
756,2017-01-01,3995,0
757,2017-01-01,8801,2361
758,2017-01-01,3008,1
759,2017-01-01,6644,1393
760,2017-01-01,2130,2
761,2017-01-01,6902,1627
762,2017-01-01,4872,0
763,2017-01-01,5939,134
764,2017-01-01,10806,2386
765,2017-01-01,4302,8
766,2017-01-01,4521,0
767,2017-01-01,2006,15
768,2017-01-01,8657,2148
769,2017-01-01,4306,0
770,2017-01-01,274,0
771,2017-01-01,513,0
772,2017-01-01,6258,1380
773,2017-01-01,2134,0
774,2017-01-01,1789,1
775,2017-01-01,18898,5019
776,2017-01-01,3317,59
777,2017-01-01,764,1
778,2017-01-01,3571,884
779,2017-01-01,6788,1073
780,2017-01-01,393,0
781,2017-01-01,5882,740
782,2017-01-01,97,0
783,2017-01-01,7088,2095
784,2017-01-01,363,0
785,2017-01-01,12907,127
786,2017-01-01,3504,67
787,2017-01-01,8331,183
788,2017-01-01,3644,0
789,2017-01-01,327,0
790,2017-01-01,561,1
791,2017-01-01,588,5
792,2017-01-01,7343,1748
793,2017-01-01,475,33
794,2017-01-01,7028,1621
795,2017-01-01,4716,1
796,2017-01-01,4164,0
797,2017-01-01,8944,2311
798,2017-01-01,799,0
799,2017-01-01,7547,2278
800,2017-01-01,637,0
801,2017-01-01,8353,1712
802,2017-01-01,864,2
803,2017-01-01,5324,0
804,2017-01-01,4901,194
805,2017-01-01,14017,3472
806,2017-01-01,1435,18
807,2017-01-01,172,3
808,2017-01-01,3033,20
809,2017-01-01,282,0
810,2017-01-01,237,1
811,2017-01-01,2411,0
812,2017-01-01,13929,2932
813,2017-01-01,1990,14
814,2017-01-01,2720,0
815,2017-01-01,8295,919
816,2017-01-01,3907,18
817,2017-01-01,9289,2882
818,2017-01-01,1727,0
819,2017-01-01,466,0
820,2017-01-01,1690,0
821,2017-01-01,5655,0
822,2017-01-01,4949,379
823,2017-01-01,570,0
824,2017-01-01,7989,1484
825,2017-01-01,3966,0
826,2017-01-01,8593,1903
827,2017-01-01,6882,0
828,2017-01-01,8076,3019
829,2017-01-01,4996,684
830,2017-01-01,10711,2416
831,2017-01-01,7657,67
832,2017-01-01,12238,2977
833,2017-01-01,9640,2585
834,2017-01-01,11313,3361
835,2017-01-01,1861,45
836,2017-01-01,1927,7
837,2017-01-01,11691,4146
838,2017-01-01,1711,28
839,2017-01-01,5928,68
840,2017-01-01,14046,4583
841,2017-01-01,404,0
842,2017-01-01,4376,65
843,2017-01-01,6401,2418
844,2017-01-01,3587,14
845,2017-01-01,3933,0
846,2017-01-01,7670,2696
847,2017-01-01,3312,9
848,2017-01-01,5353,681
849,2017-01-01,9170,3174
850,2017-01-01,4785,0
851,2017-01-01,726,0
852,2017-01-01,4195,1060
853,2017-01-01,3060,0
854,2017-01-01,6896,2880
855,2017-01-01,6984,0
856,2017-01-01,4996,580
857,2017-01-01,4829,131
858,2017-01-01,6947,894
859,2017-01-01,6534,2406
860,2017-01-01,9209,0
861,2017-01-01,8074,1875
862,2017-01-01,955,0
863,2017-01-01,11080,1468
864,2017-01-01,1365,0
865,2017-01-01,7639,32
866,2017-01-01,12385,967
867,2017-01-01,12022,2741
868,2017-01-01,3350,5
869,2017-01-01,9658,41
870,2017-01-01,7906,1681
871,2017-01-01,2194,11
872,2017-01-01,2630,5
873,2017-01-01,5675,1080
874,2017-01-01,580,4
875,2017-01-01,10652,2797
876,2017-01-01,11643,0
877,2017-01-01,1438,22
878,2017-01-01,10771,1990
879,2017-01-01,2563,0
880,2017-01-01,3822,1153
881,2017-01-01,205,0
882,2017-01-01,9071,3333
883,2017-01-01,6107,410
884,2017-01-01,78,0
885,2017-01-01,7081,606
886,2017-01-01,2359,0
887,2017-01-01,3575,262
888,2017-01-01,743,0
889,2017-01-01,10847,2066
890,2017-01-01,1130,0
891,2017-01-01,1385,1
892,2017-01-01,6350,1735
893,2017-01-01,4327,128
894,2017-01-01,2243,0
895,2017-01-01,17366,3508
896,2017-01-01,1932,0
897,2017-01-01,4225,0
898,2017-01-01,2160,0
899,2017-01-01,1109,32
900,2017-01-01,3286,0
901,2017-01-01,5404,1082
902,2017-01-01,1561,0
903,2017-01-01,19422,4444
904,2017-01-01,7502,1471
905,2017-01-01,5630,600
906,2017-01-01,1446,0
907,2017-01-01,1889,0
908,2017-01-01,6848,241
909,2017-01-01,10715,2370
910,2017-01-01,1213,1
911,2017-01-01,8126,1493
912,2017-01-01,7370,56
913,2017-01-01,21943,6004
914,2017-01-01,4227,86
915,2017-01-01,3681,0
916,2017-01-01,7521,2659
917,2017-01-01,1720,0
918,2017-01-01,10253,0
919,2017-01-01,8292,1933
920,2017-01-01,4549,76
921,2017-01-01,9180,2735
922,2017-01-01,1129,0
923,2017-01-01,6672,11
924,2017-01-01,9800,1156
925,2017-01-01,5567,1
926,2017-01-01,4925,725
927,2017-01-01,599,2
928,2017-01-01,6048,1236
929,2017-01-01,4838,6
930,2017-01-01,8609,2619
931,2017-01-01,5522,32
932,2017-01-01,7257,2140
933,2017-01-01,7037,1638
934,2017-01-01,9872,1405
935,2017-01-01,1605,32
936,2017-01-01,4543,0
937,2017-01-01,6275,1876
938,2017-01-01,4337,18
939,2017-01-01,8151,1295
940,2017-01-01,6612,1664
941,2017-01-01,1612,26
942,2017-01-01,6598,1431
943,2017-01-01,3667,21
944,2017-01-01,4317,61
945,2017-01-01,7665,1972
946,2017-01-01,2493,32
947,2017-01-01,418,0
948,2017-01-01,6852,1604
949,2017-01-01,8546,3160
950,2017-01-01,5978,8
951,2017-01-01,8219,1664
952,2017-01-01,1387,0
953,2017-01-01,3401,17
954,2017-01-01,3629,0
955,2017-01-01,5085,0
956,2017-01-01,2938,0
957,2017-01-01,11727,2903
958,2017-01-01,963,2
959,2017-01-01,4856,1
960,2017-01-01,6779,1474
961,2017-01-01,1258,0
962,2017-01-01,3291,8
963,2017-01-01,2222,39
964,2017-01-01,1065,0
965,2017-01-01,7669,20
966,2017-01-01,8267,2229
967,2017-01-01,1496,3
968,2017-01-01,3402,193
969,2017-01-01,3602,2
970,2017-01-01,11837,4875
971,2017-01-01,4930,53
972,2017-01-01,8771,2335
973,2017-01-01,847,0
974,2017-01-01,19458,2980
975,2017-01-01,5056,39
976,2017-01-01,10613,2697
977,2017-01-01,6556,1995
978,2017-01-01,4932,35
979,2017-01-01,8914,1974
980,2017-01-01,1108,0
981,2017-01-01,615,8
982,2017-01-01,3244,819
983,2017-01-01,1170,0
984,2017-01-01,5276,10
985,2017-01-01,3190,1
986,2017-01-01,11206,3056
987,2017-01-01,1741,0
988,2017-01-01,9088,2548
