index,period,org_code,type,attendances,breaches,admissions,performance
64,2017-03-01,RGT,other,3439,2,16,1
65,2017-03-01,RFS,1,6889,631,1996,0.91
66,2017-03-01,NQ108,other,2410,4,0,1
67,2017-03-01,RDE,1,7562,651,2597,0.91
68,2017-03-01,RDE,other,4545,0,0,1
69,2017-03-01,Y03571,other,6304,77,0,0.99
70,2017-03-01,RTG,1,11780,1773,3745,0.85
71,2017-03-01,RTG,other,4466,0,50,1
72,2017-03-01,RY8,other,5316,0,0,1
73,2017-03-01,NNJ,other,1710,3,0,1
74,2017-03-01,RWH,1,9376,2290,3222,0.76
75,2017-03-01,RWH,other,4832,0,0,1
76,2017-03-01,NQ106,other,615,1,0,1
77,2017-03-01,RLT,1,6726,799,1119,0.88
78,2017-03-01,NTPAL,other,2159,0,0,1
79,2017-03-01,NEH06,other,2116,0,0,1
80,2017-03-01,RR1,1,19628,3654,6006,0.81
81,2017-03-01,RR1,other,3528,53,1390,0.98
82,2017-03-01,RY4,other,987,15,0,0.98
83,2017-03-01,RQQ,1,3766,405,856,0.89
84,2017-03-01,RGQ,1,7321,560,1998,0.92
85,2017-03-01,RGQ,other,531,0,199,1
86,2017-03-01,RGP,1,6301,318,1242,0.95
87,2017-03-01,RGP,other,55,0,0,1
88,2017-03-01,RNQ,1,7653,1546,2555,0.8
89,2017-03-01,C82038,other,451,0,0,1
90,2017-03-01,RY5,other,14325,142,18,0.99
91,2017-03-01,NJS05,other,3886,80,0,0.98
92,2017-03-01,RC9,1,8814,172,2650,0.98
93,2017-03-01,RC9,other,4029,0,0,1
94,2017-03-01,C82009,other,368,0,0,1
95,2017-03-01,NLO11,other,575,1,0,1
96,2017-03-01,NLO09,other,621,0,0,1
97,2017-03-01,RQ8,1,8163,1371,2291,0.83
98,2017-03-01,RQ8,other,428,7,0,0.98
99,2017-03-01,RD8,1,7692,887,1468,0.88
100,2017-03-01,RD8,other,4697,10,0,1
101,2017-03-01,Y02652,other,3822,0,0,1
102,2017-03-01,RM1,1,10075,1372,2612,0.86
103,2017-03-01,RM1,other,971,0,0,1
104,2017-03-01,RGN,1,7832,993,2406,0.87
105,2017-03-01,RGN,other,828,0,0,1
106,2017-03-01,RNS,1,9027,1336,3303,0.85
107,2017-03-01,RNS,2,1104,6,0,0.99
108,2017-03-01,NMH01,other,5502,0,0,1
109,2017-03-01,NR3,other,5046,459,0,0.91
110,2017-03-01,RX1,1,15446,3187,4076,0.79
111,2017-03-01,RX1,2,1564,12,0,0.99
112,2017-03-01,RX1,other,220,0,0,1
113,2017-03-01,NLO10,other,2994,17,0,0.99
114,2017-03-01,C82010,other,272,0,0,1
115,2017-03-01,NLO12,other,309,1,0,1
116,2017-03-01,Y02428,other,2300,0,0,1
117,2017-03-01,RXK,1,14665,2828,3067,0.81
118,2017-03-01,RXK,2,2087,39,14,0.98
119,2017-03-01,RXK,other,2783,0,0,1
120,2017-03-01,RK5,1,8842,599,2765,0.93
121,2017-03-01,RK5,other,4169,26,7,0.99
122,2017-03-01,RXW,1,10371,2217,2441,0.79
123,2017-03-01,RXW,other,1673,0,0,1
124,2017-03-01,R1D,other,1987,0,0,1
125,2017-03-01,Y02615,other,5493,0,0,1
126,2017-03-01,RJC,1,5572,198,1806,0.96
127,2017-03-01,RJC,other,663,0,0,1
128,2017-03-01,RAJ,1,8595,680,2314,0.92
129,2017-03-01,Y02470,other,2009,0,0,1
130,2017-03-01,Y02961,other,3329,0,0,1
131,2017-03-01,RNA,1,9006,679,2425,0.92
132,2017-03-01,RNA,other,6393,0,0,1
133,2017-03-01,RQW,1,8737,1935,1835,0.78
134,2017-03-01,RCX,1,5320,496,2049,0.91
135,2017-03-01,RL4,1,11505,1651,2606,0.86
136,2017-03-01,RL4,other,8651,104,0,0.99
137,2017-03-01,RWD,1,13111,2737,3502,0.79
138,2017-03-01,RRK,1,10032,1543,2818,0.85
139,2017-03-01,RKB,1,11986,3213,4077,0.73
140,2017-03-01,RKB,2,2081,47,95,0.98
141,2017-03-01,RKB,other,2187,2,1,1
142,2017-03-01,RWE,1,12697,3227,3758,0.75
143,2017-03-01,RWE,2,1850,19,9,0.99
144,2017-03-01,RWE,other,6073,69,286,0.99
145,2017-03-01,RJE,1,15129,4019,4511,0.73
146,2017-03-01,RJE,2,429,0,0,1
147,2017-03-01,RJE,other,4774,91,0,0.98
148,2017-03-01,RBK,1,6360,1986,1936,0.69
149,2017-03-01,RBK,other,3809,1,0,1
150,2017-03-01,ATQ02,other,4019,0,0,1
151,2017-03-01,RWG,1,8042,2644,2701,0.67
152,2017-03-01,RWG,other,4023,3,0,1
153,2017-03-01,RGR,1,5887,419,2063,0.93
154,2017-03-01,RWP,1,9976,2711,3201,0.73
155,2017-03-01,RWP,other,5581,2,0,1
156,2017-03-01,RLQ,1,4618,915,1185,0.8
157,2017-03-01,RLQ,other,3060,0,0,1
158,2017-03-01,REM,1,7186,1449,2718,0.8
159,2017-03-01,REM,other,7197,0,0,1
160,2017-03-01,RCF,1,5480,379,1078,0.93
161,2017-03-01,RBS,1,5349,216,1130,0.96
162,2017-03-01,RFF,1,7146,537,2143,0.92
163,2017-03-01,RXL,1,7064,2208,2247,0.69
164,2017-03-01,RXL,other,9520,8,0,1
165,2017-03-01,RMC,1,8492,1563,2242,0.82
166,2017-03-01,RMC,other,1072,1,7,1
167,2017-03-01,RAE,1,11362,864,3045,0.92
168,2017-03-01,NNF09,other,1635,2,0,1
169,2017-03-01,RY2,other,8073,230,0,0.97
170,2017-03-01,RWY,1,12967,337,2628,0.97
171,2017-03-01,RW3,1,13272,2106,3890,0.84
172,2017-03-01,RW3,2,3620,18,161,1
173,2017-03-01,RW3,other,10219,28,148,1
174,2017-03-01,RLN,1,7844,795,2650,0.9
175,2017-03-01,RLN,2,2497,8,24,1
176,2017-03-01,RLN,other,2729,2,0,1
177,2017-03-01,RJR,1,6019,922,1541,0.85
178,2017-03-01,RJR,other,598,5,0,0.99
179,2017-03-01,RXP,1,10733,752,3387,0.93
180,2017-03-01,RXP,other,10497,0,0,1
181,2017-03-01,RNN,other,1781,50,0,0.97
182,2017-03-01,RP5,1,11271,1035,3315,0.91
183,2017-03-01,RP5,other,2715,0,388,1
184,2017-03-01,RJN,1,3998,704,958,0.82
185,2017-03-01,RJN,other,262,0,0,1
186,2017-03-01,RXR,1,8923,2562,3054,0.71
187,2017-03-01,RXR,other,7884,401,70,0.95
188,2017-03-01,NNF28,other,88,0,0,1
189,2017-03-01,RR7,1,7781,409,1670,0.95
190,2017-03-01,RR7,other,2448,3,0,1
191,2017-03-01,RCD,1,3975,135,988,0.97
192,2017-03-01,RCD,other,895,0,0,1
193,2017-03-01,RWA,1,11425,690,3329,0.94
194,2017-03-01,RWA,other,1402,2,0,1
195,2017-03-01,RV9,other,1621,0,0,1
196,2017-03-01,RXN,1,5770,1793,1721,0.69
197,2017-03-01,RXN,other,6424,208,326,0.97
198,2017-03-01,Y01231,other,2559,0,0,1
199,2017-03-01,RR8,1,18152,1844,5213,0.9
200,2017-03-01,RR8,other,2100,0,0,1
201,2017-03-01,Y02875,other,4280,0,0,1
202,2017-03-01,RY1,other,2541,0,0,1
203,2017-03-01,REP,2,1139,15,111,0.99
204,2017-03-01,Y01069,other,3222,0,0,1
205,2017-03-01,RBT,1,5708,205,1840,0.96
206,2017-03-01,RBT,other,1649,0,0,1
207,2017-03-01,RXF,1,20398,1515,5047,0.93
208,2017-03-01,RNL,1,7821,1185,2055,0.85
209,2017-03-01,RVW,1,5840,254,1650,0.96
210,2017-03-01,RVW,other,1744,2,4,1
211,2017-03-01,RTV,other,2011,0,0,1
212,2017-03-01,NLO01,other,6745,192,0,0.97
213,2017-03-01,RJL,1,11630,2006,2565,0.83
214,2017-03-01,RJL,other,1497,1,3,1
215,2017-03-01,RTF,1,8260,671,3975,0.92
216,2017-03-01,RTF,other,8306,54,31,0.99
217,2017-03-01,RW6,1,22930,4997,5328,0.78
218,2017-03-01,RW6,other,4301,96,107,0.98
219,2017-03-01,RT2,other,3463,0,0,1
220,2017-03-01,AC008,other,1042,0,0,1
221,2017-03-01,RQ6,1,7715,2040,2344,0.74
222,2017-03-01,RQ6,2,1761,28,44,0.98
223,2017-03-01,RQ6,other,10500,0,0,1
224,2017-03-01,RM3,1,8898,1355,2637,0.85
225,2017-03-01,AXT02,other,3173,0,0,1
226,2017-03-01,RCU,1,5440,227,726,0.96
227,2017-03-01,RHQ,1,9335,2094,2861,0.78
228,2017-03-01,RHQ,2,1364,0,3,1
229,2017-03-01,RHQ,other,6906,40,4,0.99
230,2017-03-01,RTR,1,10362,558,1919,0.95
231,2017-03-01,RTR,other,5164,0,16,1
232,2017-03-01,RE9,1,5071,99,1228,0.98
233,2017-03-01,RE9,other,669,1,0,1
234,2017-03-01,RVY,1,6542,1384,1905,0.79
235,2017-03-01,RVY,other,5161,6,0,1
236,2017-03-01,RBN,1,8808,1757,3497,0.8
237,2017-03-01,RBN,other,5611,54,0,0.99
238,2017-03-01,RWJ,1,8174,1652,2699,0.8
239,2017-03-01,RMP,1,7390,869,1708,0.88
240,2017-03-01,RTD,1,10697,1131,2116,0.89
241,2017-03-01,RTD,2,1997,40,15,0.98
242,2017-03-01,RTD,other,4685,0,4,1
243,2017-03-01,RFR,1,6515,1054,1671,0.84
244,2017-03-01,RFR,other,4146,0,0,1
245,2017-03-01,RM2,1,8420,685,2478,0.92
246,2017-03-01,RTX,1,7121,1411,2019,0.8
247,2017-03-01,RTX,other,1823,75,78,0.96
248,2017-03-01,RWW,1,6890,953,2632,0.86
249,2017-03-01,RWW,other,3827,39,0,0.99
250,2017-03-01,RY7,other,4696,29,0,0.99
251,2017-03-01,RBL,1,8068,1965,2546,0.76
252,2017-03-01,RBL,other,2629,40,0,0.98
253,2017-03-01,AJN,other,452,0,0,1
254,2017-03-01,RRF,1,7741,936,1972,0.88
255,2017-03-01,RCB,1,9036,1664,3543,0.82
256,2017-03-01,RCB,other,6659,16,0,1
257,2017-03-01,RTK,1,8355,1383,1982,0.83
258,2017-03-01,RTK,other,1581,0,0,1
259,2017-03-01,Y02688,other,3368,3,0,1
260,2017-03-01,NQT10,other,3175,95,0,0.97
261,2017-03-01,RWX,other,5523,0,0,1
262,2017-03-01,Y04538,other,3280,1,0,1
263,2017-03-01,RXH,1,12686,2158,3561,0.83
264,2017-03-01,RXH,2,1177,1,25,1
265,2017-03-01,NLW,other,4636,1,0,1
266,2017-03-01,RXQ,1,7101,873,2891,0.88
267,2017-03-01,RXQ,2,1318,0,542,1
268,2017-03-01,RXQ,other,3611,15,0,1
269,2017-03-01,Y00058,other,2315,12,0,0.99
270,2017-03-01,NLT02,other,1194,0,0,1
271,2017-03-01,RJ8,other,8522,15,1,1
272,2017-03-01,RN7,1,8866,904,2514,0.9
273,2017-03-01,RN7,other,1823,1,0,1
274,2017-03-01,RBD,1,3607,69,1310,0.98
275,2017-03-01,RBD,other,4019,2,0,1
276,2017-03-01,RVV,1,12737,3548,3336,0.72
277,2017-03-01,RVV,other,5216,13,466,1
278,2017-03-01,RXC,1,9442,1822,2801,0.81
279,2017-03-01,DD401,other,782,0,0,1
280,2017-03-01,RDU,1,20403,1745,6054,0.91
281,2017-03-01,R1J,other,5799,22,0,1
282,2017-03-01,RTE,1,11503,2555,3464,0.78
283,2017-03-01,RN3,1,6515,1826,2065,0.72
284,2017-03-01,RN3,other,5725,89,0,0.98
285,2017-03-01,RN5,1,9087,410,2428,0.95
286,2017-03-01,RN5,other,1206,0,0,1
287,2017-03-01,NDA57,other,751,1,0,1
288,2017-03-01,R1F,1,3477,788,744,0.77
289,2017-03-01,R1F,other,1523,0,0,1
290,2017-03-01,RYY,other,6501,3,0,1
291,2017-03-01,NR5,other,3682,1,0,1
292,2017-03-01,RWF,1,11963,1448,3677,0.88
293,2017-03-01,RWF,other,1996,7,0,1
294,2017-03-01,RPA,1,10452,2351,2263,0.78
295,2017-03-01,RVJ,1,7222,844,2324,0.88
296,2017-03-01,RBZ,1,3521,661,1117,0.81
297,2017-03-01,RBZ,other,3911,0,0,1
298,2017-03-01,L83087,other,179,0,0,1
299,2017-03-01,RNU,other,2955,106,0,0.96
300,2017-03-01,RTH,1,11198,1676,3100,0.85
301,2017-03-01,RTH,2,1797,0,61,1
302,2017-03-01,NLX02,other,711,0,0,1
303,2017-03-01,RK9,1,8345,1284,3008,0.85
304,2017-03-01,RK9,2,250,0,0,1
305,2017-03-01,RD3,1,5584,361,1692,0.94
306,2017-03-01,RD3,other,1363,0,0,1
307,2017-03-01,RHU,1,9418,2688,2921,0.71
308,2017-03-01,RHU,2,897,3,0,1
309,2017-03-01,RHU,other,2036,18,0,0.99
310,2017-03-01,RPC,other,910,1,31,1
311,2017-03-01,RHW,1,9380,594,3063,0.94
312,2017-03-01,RHW,2,1495,5,5,1
313,2017-03-01,REF,1,6059,1664,2489,0.73
314,2017-03-01,REF,other,1521,25,26,0.98
315,2017-03-01,RH8,1,8240,614,1849,0.93
316,2017-03-01,RH8,other,712,0,0,1
317,2017-03-01,RA2,1,5854,205,2017,0.96
318,2017-03-01,RD1,1,6218,1379,2103,0.78
319,2017-03-01,RD1,other,941,12,128,0.99
320,2017-03-01,RNZ,1,3807,303,1062,0.92
321,2017-03-01,RNZ,2,325,0,0,1
322,2017-03-01,Y02666,other,1357,0,0,1
323,2017-03-01,RH5,other,7026,40,0,0.99
324,2017-03-01,RYF,other,1293,0,0,1
325,2017-03-01,NTP11,other,3970,2,0,1
326,2017-03-01,RW1,other,2296,19,9,0.99
327,2017-03-01,NTPAD,other,4816,16,0,1
328,2017-03-01,RTP,1,8344,412,2264,0.95
329,2017-03-01,RDR,other,8981,388,0,0.96
330,2017-03-01,RBA,1,5394,311,1773,0.94
331,2017-03-01,AAH,other,203,0,0,1
332,2017-03-01,RDZ,1,6326,428,1876,0.93
333,2017-03-01,RDZ,2,1517,0,3,1
334,2017-03-01,RA9,1,5933,503,2530,0.92
335,2017-03-01,RA9,other,2804,0,0,1
336,2017-03-01,RHM,1,8622,1012,3456,0.88
337,2017-03-01,RHM,2,1564,35,11,0.98
338,2017-03-01,RA7,1,9307,1869,2918,0.8
339,2017-03-01,RA7,2,1947,16,12,0.99
340,2017-03-01,RYR,1,11417,515,3199,0.95
341,2017-03-01,RYR,other,965,4,0,1
342,2017-03-01,RA3,1,4350,972,1007,0.78
343,2017-03-01,NDA56,other,2686,21,0,0.99
344,2017-03-01,G82071,other,2311,0,0,1
345,2017-03-01,NDA55,other,3167,13,0,1
346,2017-03-01,NLX24,other,1509,12,0,0.99
347,2017-03-01,RA4,1,3963,62,1404,0.98
348,2017-02-01,RF4,1,17917,2694,4208,0.85
349,2017-02-01,RF4,2,616,4,0,0.99
350,2017-02-01,RF4,other,2673,20,0,0.99
351,2017-02-01,R1H,1,25955,6186,5820,0.76
352,2017-02-01,R1H,2,651,0,0,1
353,2017-02-01,R1H,other,9882,172,0,0.98
354,2017-02-01,AD913,other,3768,2,0,1
355,2017-02-01,RYX,other,17023,144,0,0.99
356,2017-02-01,RQM,1,14482,1942,3188,0.87
357,2017-02-01,RQM,other,6680,91,0,0.99
358,2017-02-01,RJ6,1,5761,1374,2021,0.76
359,2017-02-01,RJ6,other,3202,21,0,0.99
360,2017-02-01,Y02696,other,1016,0,0,1
361,2017-02-01,NX122,other,2261,0,0,1
362,2017-02-01,RVR,1,10654,534,3003,0.95
363,2017-02-01,RVR,2,484,2,8,1
364,2017-02-01,RJ1,1,10683,1471,2867,0.86
365,2017-02-01,RJ1,2,700,0,0,1
366,2017-02-01,RJ1,other,2634,5,0,1
367,2017-02-01,Y03082,other,3459,0,0,1
368,2017-02-01,RQX,1,8790,507,1498,0.94
369,2017-02-01,RY9,other,4088,1,0,1
370,2017-02-01,RYJ,1,8452,2565,2835,0.7
371,2017-02-01,RYJ,2,3672,13,8,1
372,2017-02-01,RYJ,other,9528,57,0,0.99
373,2017-02-01,RJZ,1,15070,3754,4017,0.75
374,2017-02-01,RJZ,2,1880,1,0,1
375,2017-02-01,RJZ,other,4192,175,0,0.96
376,2017-02-01,RAX,1,7677,1121,1646,0.85
377,2017-02-01,RAX,2,915,0,0,1
378,2017-02-01,RJ2,1,16054,3095,4397,0.81
379,2017-02-01,RJ2,other,5012,0,0,1
380,2017-02-01,R1K,1,10644,4616,4050,0.57
381,2017-02-01,R1K,other,14585,109,0,0.99
382,2017-02-01,RP6,2,7527,100,20,0.99
383,2017-02-01,RAT,other,4539,35,0,0.99
384,2017-02-01,RAP,1,13091,2314,2233,0.82
385,2017-02-01,Y02973,other,757,0,0,1
386,2017-02-01,AF003,other,425,0,0,1
387,2017-02-01,AF002,other,545,0,0,1
388,2017-02-01,RAL,1,16388,2485,3255,0.85
389,2017-02-01,RAL,other,2831,0,0,1
390,2017-02-01,Y03047,other,1797,0,0,1
391,2017-02-01,RJ7,1,11454,1178,3429,0.9
392,2017-02-01,RJ7,other,1065,0,0,1
393,2017-02-01,F84747,other,2297,0,0,1
394,2017-02-01,RAS,1,5179,2175,1697,0.58
395,2017-02-01,RAS,other,7199,39,0,0.99
396,2017-02-01,Y03094,other,2815,0,0,1
397,2017-02-01,E84068,other,3141,0,0,1
398,2017-02-01,RKE,1,7431,995,1181,0.87
399,2017-02-01,RRV,1,10584,1144,1831,0.89
400,2017-02-01,Y02147,other,8613,0,0,1
401,2017-02-01,Y03201,other,2295,0,0,1
402,2017-02-01,NL7,other,5061,0,0,1
403,2017-02-01,8J094,other,2176,0,0,1
404,2017-02-01,RDD,1,10152,847,2179,0.92
405,2017-02-01,RC1,1,5530,444,1818,0.92
406,2017-02-01,M85813,other,2983,0,0,1
407,2017-02-01,RQ3,1,4586,183,837,0.96
408,2017-02-01,RJF,1,4493,498,1698,0.89
409,2017-02-01,RJF,other,3670,1,3,1
410,2017-02-01,RGT,1,8094,2093,2787,0.74
411,2017-02-01,RGT,other,2961,0,20,1
412,2017-02-01,RFS,1,5840,703,1780,0.88
413,2017-02-01,NQ108,other,1965,1,0,1
414,2017-02-01,RDE,1,6371,779,2331,0.88
415,2017-02-01,RDE,other,4320,0,0,1
416,2017-02-01,Y03571,other,5635,30,0,0.99
417,2017-02-01,RTG,1,9800,1367,3279,0.86
418,2017-02-01,RTG,other,3725,6,46,1
419,2017-02-01,RY8,other,4114,1,0,1
420,2017-02-01,NNJ,other,1648,0,0,1
421,2017-02-01,RWH,1,8079,1935,2856,0.76
422,2017-02-01,RWH,other,3890,0,0,1
423,2017-02-01,"NAX",other,44,0,0,1
424,2017-02-01,NQ106,other,493,0,0,1
425,2017-02-01,RLT,1,5658,1015,948,0.82
426,2017-02-01,NTPAL,other,1847,0,0,1
427,2017-02-01,NEH06,other,1723,1,0,1
428,2017-02-01,RR1,1,16808,3902,5165,0.77
429,2017-02-01,RR1,other,3062,49,1244,0.98
430,2017-02-01,RY4,other,794,1,0,1
431,2017-02-01,RQQ,1,3353,765,703,0.77
432,2017-02-01,RGQ,1,6478,723,1885,0.89
433,2017-02-01,RGQ,other,373,0,156,1
434,2017-02-01,RGP,1,5269,683,1159,0.87
435,2017-02-01,RGP,other,90,0,0,1
436,2017-02-01,RNQ,1,6587,1502,2195,0.77
437,2017-02-01,C82038,other,331,0,0,1
438,2017-02-01,RY5,other,12123,80,9,0.99
439,2017-02-01,NJS05,other,3345,67,0,0.98
440,2017-02-01,RC9,1,7677,199,2466,0.97
441,2017-02-01,RC9,other,3285,0,0,1
442,2017-02-01,C82009,other,261,0,0,1
443,2017-02-01,NLO11,other,551,1,0,1
444,2017-02-01,NLO09,other,500,1,0,1
445,2017-02-01,RQ8,1,6980,838,2121,0.88
446,2017-02-01,RQ8,other,264,15,0,0.94
447,2017-02-01,RD8,1,6430,1181,1305,0.82
448,2017-02-01,RD8,other,4121,23,0,0.99
449,2017-02-01,Y02652,other,3543,0,0,1
450,2017-02-01,RM1,1,8464,2061,2264,0.76
451,2017-02-01,RM1,other,764,0,0,1
452,2017-02-01,RGN,1,6853,1104,2107,0.84
453,2017-02-01,RGN,other,673,0,0,1
454,2017-02-01,RNS,1,7796,1899,2812,0.76
455,2017-02-01,RNS,2,921,6,0,0.99
456,2017-02-01,NMH01,other,5082,0,0,1
457,2017-02-01,NR3,other,4548,307,0,0.93
458,2017-02-01,RX1,1,13183,3028,3507,0.77
459,2017-02-01,RX1,2,1413,22,0,0.98
460,2017-02-01,RX1,other,171,0,0,1
461,2017-02-01,NLO10,other,2676,23,0,0.99
462,2017-02-01,C82010,other,220,0,0,1
463,2017-02-01,NLO12,other,250,0,0,1
464,2017-02-01,Y02428,other,2098,0,0,1
465,2017-02-01,RXK,1,12951,3034,2869,0.77
466,2017-02-01,RXK,2,1713,12,14,0.99
467,2017-02-01,RXK,other,2520,0,0,1
468,2017-02-01,RK5,1,7642,565,2372,0.93
469,2017-02-01,RK5,other,3498,54,6,0.98
470,2017-02-01,RXW,1,8779,2497,2195,0.72
471,2017-02-01,RXW,other,1525,0,0,1
472,2017-02-01,R1D,2,345,0,0,1
473,2017-02-01,R1D,other,1585,0,0,1
474,2017-02-01,Y02615,other,5005,0,0,1
475,2017-02-01,RJC,1,4651,225,1571,0.95
476,2017-02-01,RJC,other,545,0,0,1
477,2017-02-01,RAJ,1,7328,1079,2123,0.85
478,2017-02-01,Y02470,other,1878,0,0,1
479,2017-02-01,Y02961,other,3314,0,0,1
480,2017-02-01,RNA,1,7769,1064,2149,0.86
481,2017-02-01,RNA,other,6072,0,0,1
482,2017-02-01,RQW,1,7459,2395,1494,0.68
483,2017-02-01,RCX,1,4553,433,1981,0.9
484,2017-02-01,RL4,1,9797,1689,2276,0.83
485,2017-02-01,RL4,other,8131,156,0,0.98
486,2017-02-01,RWD,1,11196,2759,3123,0.75
487,2017-02-01,RRK,1,8753,1654,2531,0.81
488,2017-02-01,RKB,1,10339,2822,3448,0.73
489,2017-02-01,RKB,2,1843,29,72,0.98
490,2017-02-01,RKB,other,1835,4,0,1
491,2017-02-01,RWE,1,10612,2793,3361,0.74
492,2017-02-01,RWE,2,1606,26,3,0.98
493,2017-02-01,RWE,other,5349,34,245,0.99
494,2017-02-01,RJE,1,12948,3777,4000,0.71
495,2017-02-01,RJE,2,377,0,0,1
496,2017-02-01,RJE,other,4003,38,0,0.99
497,2017-02-01,RBK,1,5593,1636,1693,0.71
498,2017-02-01,RBK,other,3227,25,0,0.99
499,2017-02-01,ATQ02,other,3578,0,0,1
500,2017-02-01,RWG,1,7178,2324,2473,0.68
501,2017-02-01,RWG,other,3218,1,0,1
502,2017-02-01,RGR,1,5050,812,1860,0.84
503,2017-02-01,RWP,1,8647,2957,2602,0.66
504,2017-02-01,RWP,other,4741,1,0,1
505,2017-02-01,RLQ,1,3908,965,1062,0.75
506,2017-02-01,RLQ,other,2698,0,0,1
507,2017-02-01,REM,1,6217,1713,2244,0.72
508,2017-02-01,REM,other,6378,0,0,1
509,2017-02-01,RCF,1,4577,254,971,0.94
510,2017-02-01,RBS,1,4536,137,963,0.97
511,2017-02-01,RFF,1,6281,943,1999,0.85
512,2017-02-01,RXL,1,6229,2417,2021,0.61
513,2017-02-01,RXL,other,8534,1,0,1
514,2017-02-01,RMC,1,7749,1231,2040,0.84
515,2017-02-01,RMC,other,924,2,1,1
516,2017-02-01,RAE,1,9969,988,2667,0.9
517,2017-02-01,NNF09,other,1299,0,0,1
518,2017-02-01,RY2,other,6887,105,0,0.98
519,2017-02-01,RWY,1,11252,737,2408,0.93
520,2017-02-01,RW3,1,11747,2453,3303,0.79
521,2017-02-01,RW3,2,3268,0,135,1
522,2017-02-01,RW3,other,8855,21,140,1
523,2017-02-01,RLN,1,7168,1242,2545,0.83
524,2017-02-01,RLN,2,2117,26,22,0.99
525,2017-02-01,RLN,other,2368,2,0,1
526,2017-02-01,RJR,1,5275,713,1338,0.86
527,2017-02-01,RJR,other,576,5,0,0.99
528,2017-02-01,RXP,1,9468,1603,3128,0.83
529,2017-02-01,RXP,other,9653,0,0,1
530,2017-02-01,RNN,other,1526,37,0,0.98
531,2017-02-01,RP5,1,9793,1360,2945,0.86
532,2017-02-01,RP5,other,2268,0,333,1
533,2017-02-01,RJN,1,3436,775,858,0.77
534,2017-02-01,RJN,other,173,0,0,1
535,2017-02-01,RXR,1,7824,2365,2836,0.7
536,2017-02-01,RXR,other,5405,295,41,0.95
537,2017-02-01,NNF28,other,84,0,0,1
538,2017-02-01,RR7,1,6572,387,1488,0.94
